Experiment,piControl,historical,historical,historical,historical,historical,ssp126,ssp245,ssp245,ssp245,ssp245,ssp245,ssp370,ssp370,ssp370,ssp370,ssp370,ssp585
10,300.86293797905904,299.3613529860076,300.3364703142375,302.0280438783763,300.4138842986727,298.4970345325842,300.6685923470738,299.9483188584916,300.2051990231774,299.86257867611295,300.56834730195544,300.3477973731304,301.1151086630144,301.1641441830322,301.6515343680294,301.5247939012503,302.06330237296805,302.20226990193595
11,299.43743077465575,300.0242632696786,300.8302464979998,300.42900340294267,300.00889274601565,298.96231633049894,302.4799405927792,301.73540936843887,302.08924466446615,302.8000761902768,300.90436039537076,301.1951459363842,302.4905726729151,300.4835419573188,302.3721504382759,301.2640798579718,302.10634021849205,300.84101047994153
12,300.2325099301965,300.4853472883271,301.7790929603034,301.7681046058061,299.74361509077386,299.9711571736794,299.81512924669954,302.393213586533,301.48014581839624,299.80156816812274,302.10795341901536,300.4927020960225,303.21127694778687,301.0244529384256,301.1347888642112,301.39357195752046,302.14999107119144,301.6650914115806
13,299.43761247324886,300.61245836699686,299.7123608355423,299.7792908683727,301.39284259821926,300.38213477318124,300.32781746253,301.5591710368897,300.3232921937631,300.29730057599596,300.81722934758295,300.9752542626368,301.06178609118894,303.3732775434559,302.0553415844569,300.69405471728606,301.93269992381914,302.45740024505795
14,299.8951696627632,299.270708490006,299.0331683814961,300.88812635199446,300.8336492046903,300.62170460826,303.0071210564716,303.43830992427087,302.0745778176445,303.2854530399189,301.9261909561143,303.52562998102013,301.87084144282386,300.6181461789278,301.16661873575816,301.3541827233999,300.42571719022584,300.3102509967707
15,300.64121718777193,300.0031547051526,300.695900902528,298.6032403189324,299.75845530002834,300.2406061329254,300.6218684396641,299.9264760917261,300.91512564003796,299.78250381654397,303.33260143716194,299.21902695371745,300.46225737050844,300.2137821685721,302.86675130133284,300.7373633651901,301.9810277808973,302.25599870672977
16,302.50761692746113,299.6951278131861,299.82883214669863,301.2208543757128,299.7278702949681,299.434367298051,301.62849829480444,300.9429798209787,,,,,301.96076891421484,302.1204767613196,302.23296901948794,303.32006755036053,301.9590000726916,300.4226140188187
17,300.1090811353695,299.78797784642967,299.65878819777237,298.6948210205637,301.48265794654384,298.7980561580068,302.0066874098935,301.46395192301014,,,,,301.2777321073051,301.6328140526293,299.8923939113259,300.80770816653904,300.6625142441246,303.0420501811873
18,300.586145962847,301.9094710714872,298.66479571943177,300.628627459028,300.3061336290273,299.37139468579727,301.0481307552481,301.522896770904,,,,,301.03639656407705,302.1981155154965,300.0019410316649,301.6976721188719,301.4940081586889,300.97045965924616
19,300.0436425058662,300.7605038834252,299.9787292501679,300.20237080426443,299.85587065043427,301.7704088180672,303.13184520677515,300.84328933207,,,,,301.7498118329694,302.0348038729907,303.90450441195344,302.1126637235023,302.22557681093235,300.5827764953575
20,299.6685823955242,299.3460446817355,299.6699927665398,302.23085932122154,299.6910801377475,298.8822570894244,299.74061962848805,301.77945262424845,,,,,302.04019114905924,300.23746847445756,299.0370760638784,302.642965121593,300.6491361958153,300.9714921534694
21,300.4047062147958,302.4145849834603,301.73375514570176,298.95721235657237,300.9954067000519,299.77706651158485,300.5593537439732,301.081895846877,,,,,301.4128195429235,299.86647266189806,300.76511243028784,302.5301591317961,302.67642127933067,302.56624839112254
22,299.29493365739137,299.4488063639921,298.5832172081516,298.95234435776325,299.4092715720148,301.2001552980556,302.40665839936133,303.2502504548747,,,,,302.16022816673905,301.8885305861848,302.6794240186136,300.11795935976755,300.40339682469533,302.0321140734698
23,299.6867512090817,297.80538127009845,300.5880612806122,300.11537580693783,299.4453055699416,299.8179641302357,300.87456047367556,301.2445001934556,,,,,301.6648107390282,302.28617221190865,301.4041886381197,302.234000433743,301.83676196766487,302.44130287866875
24,299.8787957168494,298.7244105284608,300.8801462147792,299.23112365441995,302.09643150200503,301.3821090667339,301.51478761643375,302.39339613360625,,,,,301.5712790262942,301.54945156386435,302.6861454604163,303.2461300636311,302.59304728298974,302.07121147332725
25,300.5359916010776,301.9301361606144,300.33301495229284,301.5902098897205,299.98046185495986,299.0704291231239,303.52736084682647,300.88252531462604,,,,,301.3176123265729,302.37933217758973,302.6365615071295,300.56222727996504,302.4082063040387,302.09193902789735
26,299.78114545124373,300.2534431619579,302.0849083037555,302.07660071171,299.25075752854156,299.9989796659415,300.2384549531259,300.74068560753426,,,,,303.98007864221745,300.4491812263128,301.4445166138891,302.9169535097913,302.38383210216233,303.0677025178902
27,300.29450254398296,299.6468254932799,301.13533042248633,298.80698610158737,300.42984073028396,300.4322773756316,301.4472165826355,301.6283855567979,,,,,300.5613810762342,302.5240926458364,303.5585759216336,301.81122121203805,301.9353559164959,303.81046689723206
28,299.4162837103441,301.8448369055739,299.1008410042916,299.2476440028772,300.35189381422,300.5526123440718,302.95404271617576,302.01022548291974,,,,,301.0605171741946,302.83379531352966,299.81368436422144,301.94776526005177,301.7793124448502,302.1359178378554
29,301.7774642523395,299.3447211430514,300.7610252282739,299.2272790526434,301.3201159207952,302.5869119863681,301.8830912913673,300.664816207998,,,,,301.7380388936639,301.27495556044965,299.95825577067916,301.54911092072757,301.280640700858,301.7667583746445
30,299.8256022218142,299.47046903630275,302.18117013187424,301.0815018456245,300.0530323687766,298.50524680172305,303.0971264733749,303.0713555144063,,,,,301.37171344028656,302.5913469777889,303.48880004499523,304.0391055653443,303.74199383566497,301.9437123074438
31,301.01082063645464,301.18547452659783,299.29412908166324,301.52043052737855,301.0487051588213,298.7990183307689,300.88142099252985,301.3706830034661,,,,,302.0053543030861,302.7382221514767,302.23884066864383,299.28920437972005,300.2555747721918,301.9358467752382
32,299.7900558833417,301.12064881511833,299.7139268895056,299.93527827719134,299.94322298035615,300.77941737318844,300.8838705184683,300.69916121924257,,,,,303.06054808192965,301.1725316430631,302.3095475909084,302.38137379481554,301.9580362606137,303.8507395822725
33,300.45797177769697,299.92040329497644,301.7375601976238,299.2244407321897,300.1156582898738,299.07771711158273,302.86980035817123,302.4002256891128,,,,,302.42094908107373,303.0209395284281,301.82426610847284,303.40995016201487,302.90870598339035,301.5601444312608
34,299.62438475285677,299.4294571852483,299.01043735816296,300.4069880738191,300.5834918482487,301.34591684337585,300.26909098251616,301.27468709308096,,,,,302.27196726232177,301.68462579785756,303.54126386588115,301.6433793905009,301.8073021169218,301.6438143207369
35,301.17876331471757,299.85992065134866,299.4116036403133,300.8282246580232,300.4639108813197,299.23684324696546,300.9458637402654,302.0224653815912,,,,,300.963241653162,302.23203615395505,301.66881198859994,301.55671669139906,301.2982971480076,304.59502164699876
36,301.48248560481983,300.65285501154636,301.55352769499694,298.6862615099872,297.6548516269247,300.07149944391364,303.98149257702977,302.1004996633967,,,,,301.93626104359095,301.928430976664,301.49367203774347,304.2841323558162,302.7073451340036,299.8379494624475
37,299.6240814607111,297.8528492939728,300.5640749933894,300.90731753857614,299.7020025404828,298.87013800700674,299.99365639112835,301.8736152922292,,,,,302.17781497296227,302.2213319361004,304.21979486767515,300.19156889636184,301.203884578813,301.530284649798
38,300.6911551064404,300.276942735667,299.0778521370276,299.70731034411716,301.7027294600963,298.61997670303316,302.5188995296671,302.4710889896755,,,,,302.29615546317905,300.94816125708513,299.5172634912279,301.98688820661044,301.8840507724063,304.28456490579435
39,302.1714734118989,299.26915829770167,300.91180769859494,300.1347551813445,301.74870985590474,301.0037640989947,301.0863213731008,301.7947069384691,,,,,304.39865999162055,302.5583577647613,302.24323510965263,304.4311133093916,303.5029128835533,300.49193773711727
40,299.82098340817066,300.3768590153141,300.06942157270373,299.3997729601634,300.9523176946945,301.0112395525844,302.2560230669374,301.3747454633553,,,,,300.6477007196666,303.7959362623122,304.2203749094042,301.3687799779104,301.75346732818406,303.02351402715914
41,300.5400280481456,301.705082617011,301.4325862250871,299.7977976929538,299.46345107212267,299.8928986714572,303.2744761086451,302.4870531113916,,,,,302.52141919463594,300.83780551135686,300.13962606561404,301.93443179092446,302.32800166301143,302.33858530776223
42,300.4244799227791,299.5224980084524,298.95942776088924,301.266569605185,299.35990622783913,300.7672820544855,299.67585977837933,302.8715822421862,,,,,301.948273314251,300.46179613471537,301.4608933086599,304.3523039658782,303.1457853981049,304.05587796863387
43,300.9240650976442,300.57699005309513,299.95833853301565,299.9671482092643,300.91202004979004,300.22393935460065,302.2065359877998,300.70257992209207,,,,,303.83914393617295,302.43646516402805,304.1696683008252,299.6710605512321,302.0998073667627,301.66278933053405
44,298.2539361152294,299.74306806545496,300.7429840915443,299.49684161131563,298.82827321865904,300.8330300488264,300.9869332506301,303.81569577948426,,,,,301.98903998656533,304.45364515071685,302.0996138857636,301.80006384874764,303.31541965702746,302.6779702932063
45,299.0253427730859,301.8254682222269,300.0191971579451,299.8913882416602,300.6505426298589,300.3150308281547,301.45141072052496,301.6955752963525,,,,,300.8645012947388,301.1324905628204,302.89529269145964,302.14167912445595,302.81293581758,304.68085322666116
46,301.27234836130407,300.9436162535739,300.90515990233206,300.54044735535496,301.44093274370425,301.3104429424905,301.7048462291884,301.64026094103747,,,,,303.38163502735927,300.89613710132625,300.9903625524408,302.8543710311242,302.4987956778512,300.6723406069223
47,299.49105095842816,299.80017766459326,300.0495220832531,302.20533569029044,299.6477565926331,299.7200135791127,300.5308038866704,303.93482855748204,,,,,304.2262857045803,304.63929434025334,304.5618840316092,303.79753152480765,304.02381641577455,302.110189021404
48,300.0418778635612,300.56782956846627,299.7321500969114,299.04074040399496,301.4504335074543,301.5891556877341,300.9399343997766,303.6726044435458,,,,,299.9084388169421,301.23334039548,300.1469577981454,303.19414255011935,301.9270192087959,302.89803724579855
49,300.0965791275649,300.95156660878075,299.8707042423507,299.61408405214524,299.3655651919,298.8680837456484,303.0316360177921,302.1153582935864,,,,,304.3301950541502,301.5032841028795,301.27797583140546,303.82013191817435,302.2068597438678,302.30084723317236
50,299.6455156465791,299.2468890538642,300.77734574291827,301.9737989214114,300.38946038919613,299.3217651939553,303.1940381947696,303.79600318207036,,,,,300.8682791513949,302.4308123257255,304.199115899341,301.90856881655935,302.20049356031404,304.6241145965566
51,299.1815503691235,299.958487112739,300.7016016045936,299.9020598056689,301.4488698881514,299.47924686649054,302.470273323198,301.5524028816867,,,,,301.73062572766656,302.63818965279273,302.9289704281396,301.3259698569813,302.59048235872933,301.38500080981254
52,300.3348754618383,301.3801420008637,299.7873878952983,299.4911691119425,300.2721511476733,300.91361238357763,301.8301888918379,301.7007980834962,,,,,304.92831596562587,302.1088759322092,303.173509987823,302.62873258182066,300.8789545701215,302.718652476175
53,301.14602266447645,300.10878794603155,302.2498530447338,301.37281224922873,299.82057217268255,301.228739278408,303.63597747784036,302.53003461975914,,,,,300.6680130101383,303.77222486947267,301.7546695295054,301.15974312877506,304.27191209875036,305.20888599379106
54,299.0607974867803,300.524690158065,298.34640988663796,300.7584770866418,301.1931883802168,299.42242279364865,302.51212154195036,301.51611198955766,,,,,302.97068951723014,301.91054556175567,302.6373166001861,302.28508565053056,302.1495970130411,301.8336048269077
55,299.49664946379204,302.3829837908597,299.1174792202906,299.58933619646194,300.13875298155637,299.9707605179014,301.8418883308271,303.10508086344583,,,,,305.02951883318195,302.7927479939793,303.8175127450517,304.7483273234845,301.8860679353276,303.5846434403693
56,301.0692270674945,299.5959616114724,301.6707699458022,300.32841604455615,299.90424839035717,300.4223776080719,300.3831787418654,302.35499839821404,,,,,302.4110347476414,302.30060556997296,303.06839086634693,300.2943516160686,304.4864245789076,304.03484140367345
57,299.3354413821378,298.6994264371636,300.0647809428842,299.93393362234355,300.50230399978017,299.67527595558334,301.719115380795,303.96435193562655,,,,,304.63386063344944,303.6355008366295,304.82060809599335,302.4827911060281,299.638146446019,302.6738326590503
58,300.46238900782686,300.9926243730001,298.6066876742007,298.40463089920587,302.75309573146814,301.46658741258693,302.58723129263063,301.90077951690904,,,,,300.5045221937327,302.8352139749507,301.13342877500924,303.83911082601145,302.61999734168324,302.9678351231208
59,300.1579143204283,301.5780998668508,298.9569927353323,301.4704586210499,298.8322142207665,299.24353120103325,303.17439887305864,302.1086074674541,,,,,303.41712465857546,303.105381379477,302.5327440354902,303.38982859392996,302.8020488719919,304.1023191532165
60,301.1930713586201,301.1174161236493,300.67370178887876,299.6526351707765,301.4977605527078,300.71195509097254,301.55199790839805,301.45291444513515,,,,,304.4038188299765,304.5079665924425,304.81739809778554,302.1222222307303,302.3114237444395,304.0468391730174
61,298.979941234103,298.99240204408045,299.6673426843793,300.1914419895041,299.07447569438926,299.5711167700045,302.06164055966525,304.3544325259147,,,,,300.5704302392241,301.01364242371284,301.8061849557957,303.4745497008184,303.0492535497503,303.6992150346982
62,300.5580756036352,300.271878506418,301.84046546520676,300.0571857337464,299.40726673863014,301.4837862355678,301.3590722545067,300.90723844166797,,,,,302.647544782679,302.5185297160506,302.61122876682157,303.31623658925326,304.9027336283055,303.63710291012563
63,301.55395199486105,299.7444514127772,300.52010986262684,300.8484051992817,301.2827925847445,299.26736015396926,301.91149708121884,302.1193512214592,,,,,303.7365620106078,304.85517524931987,303.65617764753745,302.36872898533176,302.74647945819794,303.49258961795215
64,299.9728999932556,300.49611587913085,299.7048731615129,301.4036249115913,301.24412964198774,301.75414986361443,302.4904121192026,303.33515288054303,,,,,303.73941400380426,301.64333488280937,303.5791170531276,303.8446858094073,303.40240408114664,302.7800376444305
65,299.8222514253146,299.73820517173675,301.86129344960005,298.32789979524176,300.469624710048,299.84337125945143,301.9119224687243,301.5771302831519,,,,,301.49901409901196,303.2643602717538,303.04113636708536,304.3019241427781,303.3128810816891,304.68922905774576
66,301.12076066418604,298.9914597295636,298.3890254787684,300.35154162738195,298.5602599864634,301.16514408284775,301.3639223577316,304.45798393397456,,,,,304.38478702994934,305.1687300954295,303.5901474138794,303.78733037209116,303.1569607968458,303.6310447750304
67,300.8491195359311,299.6752024240959,300.6892653372693,300.1451936026716,299.8461914991424,299.52334910030254,300.960346345752,302.1388157516914,,,,,304.4172218475371,301.3714772983473,305.1213676894959,302.72764481816904,304.3325404403151,304.60046855404335
68,299.8327755597124,300.4824254539966,300.89057595397804,299.1369336454351,301.6903444964617,300.102762738321,301.70355829424994,301.92038961047274,,,,,302.5847116703338,301.68897929217104,302.46647732816496,303.1792732101167,302.24781508935297,303.94557563887344
69,299.79079590324665,300.6788422812644,298.7748154230356,301.7768447798032,299.4996918097382,299.2388533811275,303.41824793085317,303.8885487879477,,,,,302.12715808940305,304.5622495335518,303.52238851686155,303.1340950601145,301.73460397704457,304.4028251457475
70,300.30635492331817,299.8001286076212,299.8144906986284,298.6452735387749,300.73294830989306,299.9719497169677,301.9066869039518,302.00468769311686,,,,,305.1439187125765,300.3078359624941,304.357030401661,304.2091736508807,303.84451690812193,305.01046712854577
71,301.9986665242848,300.00410373165374,301.4682461537931,300.38151615351984,300.37821041425246,299.9052942875159,302.39791295752633,303.98737694945936,,,,,302.44170987958523,301.510241315585,303.8920677347762,303.84554665566935,304.50012909566595,303.85226658191965
72,299.75843765916267,300.40178228879836,300.1321148155965,300.30717934166404,299.7463095908369,301.6747911306473,302.95001686045015,302.1123460583821,,,,,304.03105848527827,305.5133624594373,305.18846434307994,303.51760458083146,302.51679003281384,303.855736673685
73,298.5819861884554,302.91634483680326,301.4106779303161,300.0248643668931,301.6379390673715,300.0290065665592,301.7899347974583,302.521389406273,,,,,303.54391742101126,302.0461718684133,300.2301479419303,302.7486323151841,304.31283027840027,305.33431254350495
74,298.78909501063066,299.4281470772972,298.6308341764648,300.5630431855479,302.0391863408722,301.3199879353815,302.2147449634039,303.05384973207424,,,,,304.08900144636925,304.00248760876,302.61115234140806,305.1606738012151,301.71239494273374,302.0949980878597
75,300.1760418714609,299.3115213693455,299.85137574092465,300.7071687376001,299.6335521557299,299.29551021055926,301.6374513467418,302.54128601487884,,,,,303.3157687282615,302.89616743765663,305.45407767463274,302.09276674229955,303.29831396898936,305.347380778157
76,300.2689954625489,299.8755556853758,300.6310437718757,300.52469676310625,299.2095638503236,301.7501355652912,303.09450512541224,304.4792077507857,,,,,303.98907727574857,305.47334648230697,301.5341843242705,302.93285437552004,303.8903470186999,304.47997517208836
77,300.64178204054855,301.46460773511075,300.66832033699365,302.13871531056117,301.6501120540056,299.354650982895,302.13851252020504,301.32971303905174,,,,,304.0442558792971,301.5615058040847,303.9061108423746,305.42140224929886,303.97302834377405,305.78063352054994
78,298.55784714634274,299.95378109334223,299.961359553947,299.3772558022473,299.75616250343006,300.6525232587278,300.39418658044684,301.8528503126483,,,,,302.87755150469104,302.5089407943521,305.1101305701723,303.6162370990958,302.3807860468838,302.2811738425555
79,299.4422495783371,300.37619416629053,300.4814081796178,302.1544821957743,299.4822769790465,301.12095342222773,302.2052388916017,304.6689250954545,,,,,303.25137764846926,305.44024743375525,302.96395367031664,304.46297175628325,303.32756496897656,305.46178683267686
80,300.244688677611,301.1911319557978,301.10549485430585,299.18859896220243,302.23914240069354,301.4071565755722,301.1054691764106,299.5833085971447,,,,,305.2165486511907,302.1031508258721,304.57107419949097,304.11578080267685,305.5892205144573,302.89736317283456
81,298.6304181222469,299.1743803162969,302.7757727449832,300.2406967917943,300.21898502326,300.73076699148504,302.28131619309005,302.07091600237385,,,,,302.6790656476204,303.2426539295733,304.9502572369851,305.49342189854764,302.5511631132979,303.73560101239843
82,299.7565201965263,298.19634988584056,299.5376055848281,300.40829993220007,302.46154739392983,302.0635793224412,303.27676590794914,303.0647681013959,,,,,305.41405065968723,305.2129699087743,303.082541033297,302.46910649087226,304.01637004307867,305.441056462781
83,301.24254116555034,299.5865739340522,299.9345444376232,300.46806252957754,298.49842178883006,300.21610973024616,300.59858609847964,302.35890754722874,,,,,301.4369926502408,304.2288599862527,305.67089384446007,302.3539640135661,305.0174717944241,303.3826306694354
84,300.21990795870875,299.6050314449381,299.6601382917639,300.61783768520655,300.50323589188724,301.5579700687235,302.94192623055324,303.585988702729,,,,,303.444565523251,303.6355204789349,302.2096682054613,305.5364366128577,302.2118067221655,303.07112125360686
85,300.24478600477767,300.2565365777841,302.0598033900456,300.17983798505537,299.97960513963403,299.7010664699158,301.051273855807,300.1639082421666,,,,,302.85317840602454,301.10845470718,300.9634133291842,298.5355419868219,300.0239506069046,303.12521692215995
86,302.1690944556893,302.69930424542605,298.8170966697435,300.1222141367921,299.9157775853677,299.5162837423292,,,,,,,,,,,,
87,298.7380706013427,300.26815350927166,300.19432876296145,301.50078948113804,301.55467669363094,299.7932006436388,,,,,,,,,,,,
88,299.39348045168657,301.1979705226692,300.5744439053005,299.2602933158783,302.65463488804807,301.76146969463133,,,,,,,,,,,,
89,298.87397937602094,299.82400778382186,302.0011169721799,301.2645333063727,300.06375729767996,298.4482173537709,,,,,,,,,,,,
90,300.7860821029314,300.06647939317804,299.04126924570215,301.23801490718756,298.25918099404225,301.4827629544943,,,,,,,,,,,,
91,298.8475751870329,301.7446140533063,301.4716123380565,300.2263835873803,300.91596970919767,301.62625434927327,,,,,,,,,,,,
92,299.13602964366373,298.96008523021743,300.24248856022547,299.1741673611445,300.70596252804995,301.30763024112724,,,,,,,,,,,,
93,300.1573166102975,300.0487850482955,300.91114971890266,300.9877002069524,300.25161648363974,300.15271104802315,,,,,,,,,,,,
94,301.32722746756355,301.7836781475332,299.7607380779929,301.0858090489894,300.1212762242289,301.65169810003636,,,,,,,,,,,,
95,300.2653224664025,300.85155524019245,299.1159333013145,302.2702494034335,300.27563060953435,300.71982181128556,,,,,,,,,,,,
96,301.390606164583,301.5620469183696,299.12796970948386,299.0718881998147,300.0968568019943,300.98270423769713,,,,,,,,,,,,
97,300.644668495849,300.46327522299094,299.2155741905651,301.14288404572767,301.0696335813076,300.18487540438514,,,,,,,,,,,,
98,300.2442604101786,301.99731483025704,298.8766552344311,302.2485552985873,301.7313088509233,301.822016342925,,,,,,,,,,,,
99,301.4456482117153,301.0403210383846,302.089667750115,300.5753099035152,299.5454190650945,300.00914214685974,,,,,,,,,,,,
100,299.7591187740938,300.73931044034356,301.28573513690213,298.66510120275393,300.64077574124195,299.0939991505383,,,,,,,,,,,,
101,300.2043202341619,300.7617056306303,298.88948938485066,300.19476655445953,301.23069550700876,300.1105313998533,,,,,,,,,,,,
102,300.91365579346143,301.79414808623784,300.86666207501025,301.0787641592947,301.3687841213205,302.2372428119889,,,,,,,,,,,,
103,300.56791948259024,298.20840117769234,300.1735990864697,300.26475676510154,300.0634858120176,299.4355757619133,,,,,,,,,,,,
104,300.1874917856624,299.4323701841436,301.7077569040277,301.68737293133273,302.31519291075944,300.71976105252264,,,,,,,,,,,,
105,299.75007134677566,302.38198032673006,301.29631984981944,301.92901024871117,299.29682531431894,300.88404870835507,,,,,,,,,,,,
106,299.833206269047,299.94872517804197,301.35894738078133,300.7183393954009,302.29812553363263,302.13718440265717,,,,,,,,,,,,
107,299.6994687784316,299.12500792157056,300.27091803259856,299.90008281420904,298.80130088420646,299.1726860989632,,,,,,,,,,,,
108,299.9693203355268,302.14551692763445,302.0089660099415,300.6161849562405,300.8739289408579,301.79730358760224,,,,,,,,,,,,
109,301.035936897131,300.8381762722673,300.43953775736946,300.4212816163277,301.54355654823354,300.54949056390586,,,,,,,,,,,,
110,299.4012962921576,300.4630331399197,299.99592756552846,303.1771142404591,300.4016085389349,302.0015624796535,,,,,,,,,,,,
111,300.6155793522453,299.14356487093784,301.9661955351257,299.15410013057055,302.2940489166374,301.23191535474393,,,,,,,,,,,,
112,300.16004795232794,301.0469125635712,300.44905372333767,301.66148589778703,298.8240496902453,299.5897870934421,,,,,,,,,,,,
113,300.5677328738757,301.18227921317185,301.107267651123,300.05831926993227,301.48601570701334,300.02817252072396,,,,,,,,,,,,
114,300.7283564249053,301.8830884197498,299.6376692731031,298.1124200573441,302.1497901432819,300.7965261335487,,,,,,,,,,,,
115,299.3340575367966,299.7222293577183,300.1348833201575,300.83088148069163,298.500158548321,299.38835308214203,,,,,,,,,,,,
116,300.42256611638163,300.12781539124535,300.60662493631787,302.6600950347201,299.7734932482469,301.63708381600634,,,,,,,,,,,,
117,300.55821181695563,300.7150652060546,300.2928399173708,299.062772660985,300.8600027982707,298.83612354033454,,,,,,,,,,,,
118,298.9046453313383,301.3501325314458,299.3327561857761,300.0807914749117,301.66819499267064,300.9231225128254,,,,,,,,,,,,
119,298.82745037589575,299.2538333371455,301.42534201660345,301.59193968483515,298.15722380238645,300.4480911326985,,,,,,,,,,,,
120,301.97008893048616,300.29647957988647,302.38562843328214,300.2303219570634,300.09265917720995,300.63520489588035,,,,,,,,,,,,
121,298.6731845207412,302.4539074099688,300.1711697121667,302.64685618946066,301.61542684547277,299.89328774771576,,,,,,,,,,,,
122,299.1454907928126,299.85249327319633,299.64213341871255,299.9780447331728,299.396533523257,301.7808508362638,,,,,,,,,,,,
123,300.66847371622345,300.68013661802706,301.51366038544364,300.1233041754128,302.23696877869673,299.3954365372465,,,,,,,,,,,,
124,299.4955326509889,300.5655208973139,301.66136817548244,301.4546309505068,299.6759388378631,302.4851153299316,,,,,,,,,,,,
125,299.9514113828538,302.6788632303987,299.1264953695027,299.5464890769064,301.0374895452503,300.32388638049997,,,,,,,,,,,,
126,300.0417922854529,298.29862004285604,299.7472249969421,302.1633921008701,301.47911443279344,299.7567149264991,,,,,,,,,,,,
127,301.0285787388228,300.3568241696087,300.630173503619,299.02856568175974,299.60265711091694,301.26711631503713,,,,,,,,,,,,
128,299.23818554744565,299.58936026192805,300.50615564352887,300.117358909487,300.42716755994024,303.1059523220239,,,,,,,,,,,,
129,299.6161705364582,302.2733616793879,300.9897697848649,301.8143181386313,302.08586843665205,298.1027151278807,,,,,,,,,,,,
130,300.7406983503786,298.696837811546,301.691474017638,300.0282533776079,301.36533115477135,301.38758851070946,,,,,,,,,,,,
131,301.61095176075895,301.27564546619226,299.1085517974739,301.3463947821451,298.7800811961338,300.33122697202964,,,,,,,,,,,,
132,299.11315821278123,301.1370030910739,301.5106814266194,300.36008495982816,302.3199088428474,301.2628851538184,,,,,,,,,,,,
133,300.9235853361228,301.42811219752184,300.5185289414382,300.61551697142903,300.54098245966884,300.63015286714136,,,,,,,,,,,,
134,299.1657035751019,299.51918304712353,301.49354136479616,301.1895850891445,301.1691756576585,302.124031993892,,,,,,,,,,,,
135,300.9186873309092,301.6255308659035,300.68094377173713,301.62140829274216,302.5043688637257,301.4718056642175,,,,,,,,,,,,
136,301.046084139621,302.65137074240585,299.663278309913,300.4114986794712,299.07657992328893,299.5688112444559,,,,,,,,,,,,
