Experiment,piControl,historical,historical,historical,historical,historical,ssp126,ssp245,ssp245,ssp245,ssp245,ssp245,ssp370,ssp370,ssp370,ssp370,ssp370,ssp585
Member,r1i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r4i1p1f1,r5i1p1f1,r1i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r4i1p1f1,r5i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r4i1p1f1,r5i1p1f1,r1i1p1f1
0,,,,,,,300.20040962438134,300.3101985265002,299.8439270480322,300.13617061719486,301.2518785273515,302.0196142106433,300.27456870678583,299.885197465505,300.1598856664737,301.26701123286335,302.0423523309734,300.147121403296
1,299.4692447381072,300.96520840056655,299.90954574073544,301.5657032964122,301.6595910217138,301.70612525677376,303.08526589884536,301.17121834474193,301.7316981215585,300.0990238738021,302.2524943544128,302.1181730419694,301.2410166833201,301.07566389429775,301.53398585219014,302.16106041149874,300.65468308635724,301.66061345416625
2,299.48838524723493,300.27321519430785,302.11424760748247,299.4209197331889,300.5898287176569,298.8760227564024,299.96501911578235,302.9386925981835,302.740109216789,301.427857780456,300.5501762707627,302.20134378737635,301.93847268777637,302.6026485848977,300.85053695136634,299.5281897489133,302.68172588551397,300.39745437984703
3,299.2795752373165,299.85316021215675,298.4077037593757,299.45791216865865,299.20193974784723,299.9466034745408,299.0910770463378,298.87013476505086,300.9662717131814,300.7275172191587,302.13352619962586,300.5981475539921,302.4617012329954,299.05274750318625,301.4407024156635,301.0149453123385,299.69299370393963,302.4815122553369
4,302.1998372673268,299.3318033231097,298.18448708310626,300.539836770703,301.36846157683567,301.71851829976646,302.6214441672955,299.5417540730023,301.78303356751474,302.9006429776014,300.93842502326487,301.764786213406,301.4404850705548,301.1436047743234,302.4555301766088,300.5944464534729,300.16485422193455,302.4865087340247
5,298.8481600394826,301.1084714069481,300.36171971704744,298.73152789218375,299.42885867794695,300.6439148666038,301.2824879480031,300.65450617963796,300.88901960445554,301.3358185255002,301.4508395863832,301.91294710438825,301.29555078761445,303.2344718697982,300.2074727615987,302.3007741909829,302.17591440848474,300.0048703815436
6,301.00070278486686,299.88644841930545,301.36414524286107,300.52237555496146,299.1911343311032,299.20314954804473,301.27198828224374,299.6145682545453,301.7061580519662,301.2636450972973,301.9521186628567,301.4836726919322,300.1893108886748,300.2131659031524,300.75290292707183,299.2958741600941,302.6386260808369,301.52983624606065
7,300.28871107104897,298.67434895930427,299.5254208812559,301.128944134563,300.6851454221522,301.1042726661337,300.00840217862566,301.6297001234271,301.93640127944985,302.3223018409512,300.83025027319917,300.93347659072134,302.54984872179347,303.11589780233015,301.4258769385458,301.81805551575945,300.67120678909447,300.6884386810157
8,299.9120962592797,301.52180308475096,300.7416372377852,300.12980355115616,301.2532704152507,299.1692699228506,299.76223049994735,302.7796228075518,300.4587826748173,299.9456511442593,303.2584514944812,299.6449420383996,301.5756785951475,302.30885212625225,300.974132357408,301.1373845164917,301.32174132753636,301.1325309596579
9,299.19817133535054,301.2812184296469,300.59189284257724,299.9628434490801,299.9605312389348,302.01360146978004,303.3170656248821,300.00177448804794,301.9406728920399,300.5339681080778,302.4968872519175,301.80321276063535,300.590027098839,302.5750796718902,302.41386241991074,301.21190800055433,299.3383698741482,301.41219864069336
