	piControl (ens.mem.)	historical (ens.mem.)	ssp126 (ens.mem.)	ssp245 (ens.mem.)	ssp370 (ens.mem.)	ssp585 (ens.mem.)	abrupt-4xCO2 (ens.mem.)	piControl (yrs)	historical (yrs)	ssp126 (yrs)	ssp245 (yrs)	ssp370 (yrs)	ssp585 (yrs)	abrupt-4xCO2 (yrs)
IPSL-CM6A-LR	data problem	32.0	3.0	2.0	10.0	1.0	12.0		165.0	86.0	86.0	86.0	86.0	300.0
BCC-CSM2-MR	1	3.0	1.0	1.0	1.0	1.0	1.0	600.0	165.0	86.0	86.0	86.0	86.0	151.0
BCC-ESM1	1	3.0			3.0		1.0	451.0	165.0			41.0		151.0
CAMS-CSM1-0	1	2.0	1.0	2.0	2.0	2.0	2.0	250.0	165.0	85.0	85.0	85.0	85.0	155.0
CanESM5	2	50.0	50.0	50.0	50.0	50.0	2.0	1000.0	165.0	286.0	86.0	86.0	286.0	151.0
CNRM-CM6-1	1	18.0	6.0	6.0	6.0	6.0	6.0	500.0	165.0	86.0	86.0	86.0	86.0	150.0
CNRM-ESM2-1	1	5.0	5.0	5.0	4.0	4.0	3.0	500.0	165.0	86.0	86.0	86.0	86.0	150.0
E3SM-1-0	1	5.0					1.0	500.0	165.0					150.0
EC-Earth3	1	2.0						501.0	165.0					
EC-Earth3-Veg	1	1.0					1.0	500.0	165.0					151.0
FIO-ESM-2-0	1							400.0						
MIROC-ES2L	1	3.0	1.0	1.0	1.0	1.0	1.0	500.0	165.0	86.0	86.0	86.0	86.0	150.0
MIROC6	1	10.0	3.0	3.0	3.0	3.0	1.0	800.0	165.0	86.0	86.0	86.0	86.0	250.0
HadGEM3-GC31-LL	1	4.0		1.0			1.0	500.0	165.0		86.0			150.0
HadGEM3-GC31-MM	1							500.0						
UKESM1-0-LL	1	9.0	5.0	5.0	5.0	5.0	1.0	750.0	165.0	86.0	86.0	86.0	86.0	150.0
MRI-ESM2-0	1	5.0	1.0	5.0	5.0	1.0	13.0	701.0	165.0	86.0	86.0	86.0	86.0	151.0
GISS-E2-1-G	6	22.0					3.0	6045.0	165.0					1150.0
GISS-E2-1-G-CC	1	1.0						165.0	165.0					
GISS-E2-1-H	1	10.0					1.0	401.0	165.0					151.0
CESM2	1	11.0	1.0	1.0	2.0	2.0	1.0	1200.0	165.0	86.0	86.0	86.0	86.0	999.0
CESM2-WACCM	1	3.0	1.0	1.0	3.0	1.0	1.0	499.0	165.0	86.0	86.0	86.0	86.0	150.0
NorESM1-F	1							200.0						
GFDL-ESM4	1		1.0	1.0	1.0	1.0	1.0	500.0		86.0	86.0	86.0	86.0	150.0
NESM3	1	5.0				2.0	1.0	200.0	165.0				86.0	150.0
SAM0-UNICON	1	1.0					1.0	700.0	165.0					150.0
MCM-UA-1-0	1	2.0		1.0	1.0	1.0	1.0	500.0	165.0		86.0	86.0	86.0	500.0
FGOALS-g3		3.0		1.0	1.0	1.0			167.0		86.0	86.0	86.0	
MPI-ESM1-2-HR			1.0	1.0	10.0	1.0				86.0	86.0	86.0	86.0	
